Document Number,Invoice Value,Department,Authorization,Conflicting Rules
1919000464,59000,Warehouse,Yes,No Conflicting Rules
1919000471,5601,Warehouse,Yes,No Conflicting Rules
1924000109,48935,Warehouse,Yes,No Conflicting Rules
1927000290,1116,Warehouse,Yes,No Conflicting Rules
1927000291,45,Warehouse,Yes,No Conflicting Rules
1927000334,622,Warehouse,Yes,No Conflicting Rules
1927000340,2275,Warehouse,Yes,No Conflicting Rules
1819100568,104784,Warehouse,Yes,No Conflicting Rules
1819100579,85439,Warehouse,Yes,No Conflicting Rules
1819100580,78048,Warehouse,Yes,No Conflicting Rules
1819100582,28058,Warehouse,Yes,No Conflicting Rules
1819100586,144428,Warehouse,Yes,No Conflicting Rules
1819100595,6372,Warehouse,Yes,No Conflicting Rules
1819100651,148838,Warehouse,Yes,No Conflicting Rules
1819100659,23552,Warehouse,Yes,No Conflicting Rules
1819100666,1653116,Warehouse,Yes,No Conflicting Rules
1819100688,2750,Warehouse,Yes,No Conflicting Rules
1819100701,12936,Warehouse,Yes,No Conflicting Rules
1819100725,3232,Warehouse,Yes,No Conflicting Rules
1819100751,16666,Warehouse,Yes,No Conflicting Rules
1819100762,73863,Warehouse,Yes,No Conflicting Rules
1819100766,74112,Warehouse,Yes,No Conflicting Rules
1819100788,41265,Warehouse,Yes,No Conflicting Rules
1819100796,251370,Warehouse,Yes,No Conflicting Rules
1819100818,375,Warehouse,Yes,No Conflicting Rules
1819100835,148838,Warehouse,Yes,No Conflicting Rules
1819100861,40878,Warehouse,Yes,No Conflicting Rules
1819100864,8299,Warehouse,Yes,No Conflicting Rules
1819100871,14160,Warehouse,Yes,No Conflicting Rules
1819100886,5458,Warehouse,Yes,No Conflicting Rules
1819100900,29303,Warehouse,Yes,No Conflicting Rules
1819100941,91350,Warehouse,Yes,No Conflicting Rules
1819200045,13950,Warehouse,Yes,No Conflicting Rules
1819200060,3900,Warehouse,Yes,No Conflicting Rules
1819200076,10650,Warehouse,Yes,No Conflicting Rules
1819200083,9129,Warehouse,Yes,No Conflicting Rules
1819200099,30975,Warehouse,Yes,No Conflicting Rules
1819200124,10620,Warehouse,Yes,No Conflicting Rules
1904000784,908601,Warehouse,Yes,No Conflicting Rules
1904000787,45000,Warehouse,Yes,No Conflicting Rules
1904000793,0,Warehouse,Yes,No Conflicting Rules
1904000797,30699396,Warehouse,Yes,No Conflicting Rules
1904000800,45000,Warehouse,Yes,No Conflicting Rules
1904000802,20381600,Warehouse,Yes,No Conflicting Rules
1904000812,30460950,Warehouse,Yes,No Conflicting Rules
1904000817,8871,Warehouse,Yes,No Conflicting Rules
1905000291,6750,Warehouse,Yes,No Conflicting Rules
1905000316,1543,Warehouse,Yes,No Conflicting Rules
1907000476,667128,Warehouse,Yes,No Conflicting Rules
1907000481,234360,Warehouse,Yes,No Conflicting Rules
1907000500,9180,Warehouse,Yes,No Conflicting Rules
1907000532,5670,Warehouse,Yes,No Conflicting Rules
1907000533,888174,Warehouse,Yes,No Conflicting Rules
1907000534,717990,Warehouse,Yes,No Conflicting Rules
1907000545,113118,Warehouse,Yes,No Conflicting Rules
1907000575,471,Warehouse,Yes,No Conflicting Rules
1907000588,141120,Warehouse,Yes,No Conflicting Rules
1907000590,227032,Warehouse,Yes,No Conflicting Rules
1907000592,14175,Warehouse,Yes,No Conflicting Rules
1907000605,10402,Warehouse,Yes,No Conflicting Rules
1919000430,13375,Warehouse,Yes,No Conflicting Rules
1919000460,691480,Warehouse,Yes,No Conflicting Rules
1919000490,501912,Warehouse,Yes,No Conflicting Rules
1919000491,1037928,Warehouse,Yes,No Conflicting Rules
1919000497,31152,Warehouse,Yes,No Conflicting Rules
1919000563,16658,Warehouse,Yes,No Conflicting Rules
1927000305,1875000,Warehouse,Yes,No Conflicting Rules
1927000314,4023,Warehouse,Yes,No Conflicting Rules
1927000315,2837,Warehouse,Yes,No Conflicting Rules
1927000338,14927,Warehouse,Yes,No Conflicting Rules
1819100570,234027,Support,No,"No Authorization,CRID001,CRID003"
1819100656,114818,Support,No,"No Authorization,CRID001,CRID003"
